Nama Restoran,Preferensi Makanan,Lokasi Restoran,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Jenis Suasana,Toko Sering Diskon (Ya/Tidak),Variasi Makanan,Pelayanan Khusus Pasangan (Ya/Tidak),Entertainment,Keramaian Restoran,Disajikan atau Ambil Sendiri,All You Can Eat atau Ala Carte
"King Star Kebab, Nogorojo",Western,3.33 km,23000,4.5,Santai,Tidak,"Western, Snacks",Tidak,3,2,Disajikan,Ala Carte
"Yamie Panda, Kridosono",Chinese,3.04 km,28000,4.7,Santai,Ya,"Bakmie, Chinese",Ya,1,2,Disajikan,Ala Carte
"Warung Makan Bu Sri, Umbulharjo",Indonesia,1.1 km,13000,4.4,Santai,Tidak,"Aneka nasi, Ayam & bebek, Bakso & soto",Tidak,1,3,Disajikan,Ala Carte
"Rumah Makan Terang Mulyo, Katamso",Chinese,2.07 km,42000,4.8,Santai,Ya,"Aneka nasi, Bakmie, Chinese",Tidak,4,3,Disajikan,Ala Carte
SGPC Sop Penyetan Bu Wiryo Cendana,Indonesia,1.49 km,18000,4.8,Santai,Tidak,"Aneka nasi, Bakso & soto",Tidak,3,3,Disajikan,Ala Carte
"Berkah Abadi, Pasar Kranggan",Chinese,4.13 km,28000,4.2,Santai,Tidak,"Ayam & bebek, Chinese",Tidak,1,2,Disajikan,Ala Carte
"Mie Ayam Dan Bakso Babaran, Umbulharjo",Indonesia,0.29 km,17000,4.5,Santai,Tidak,"Bakmie, Bakso & soto",Tidak,3,2,Disajikan,Ala Carte
Yamie Singkawang,Chinese,2.08 km,45000,4.7,Santai,Tidak,"Bakmie, Chinese",Tidak,4,3,Disajikan,Ala Carte
"Easy Peasy Kitchen, Prawirotaman",Western,1.94 km,43000,4.8,Santai,Tidak,"Beverages, Western",Tidak,3,2,Disajikan,Ala Carte
"Kiwae Ayam Kekinian, Nologaten",Western,4.29 km,30000,4.8,Santai,Ya,"Chicken & duck, Korean, Western",Tidak,2,1,Disajikan,Ala Carte
"Pepper Lunch, Plaza Ambarrukmo",Japanese,3.72 km,92000,4.6,Formal,Ya,"Chicken & duck, Rice, Japanese",Tidak,4,3,Disajikan,Ala Carte
Makmur Spesial B2 Food,Chinese,4.04 km,31000,4.6,Santai,Ya,"Chinese, Aneka nasi, Bakmie",Tidak,4,1,Disajikan,Ala Carte
"Rice&Steak, Ngipik, Potorono, Banguntapan, Bantul",Chinese,4.18 km,27000,4.5,Santai,Ya,"Fast food, Chinese, Western",Tidak,4,2,Disajikan,Ala Carte
"Japanese Town Snack, Matrijeron",Japanese,3.78 km,27000,4.4,Santai,Tidak,"Fast food, Japanese, Snacks",Tidak,2,3,Disajikan,Ala Carte
"Seblak Asgar, Lowanu",Indonesia,1.42 km,33000,4.5,Santai,Tidak,"Jajanan, Bakso & soto",Tidak,4,2,Disajikan,Ala Carte
"Tora Tora, Kaliurang",Japanese,5.24 km,28000,4.6,Santai,Ya,"Japanese, Rice",Tidak,3,2,Disajikan,Ala Carte
